díogach,diːɡəx
corróg,kɔrˠɔ́ɡ
sioc-cheo,sɔːk-xɔː
slat,slat
geimhleach,ɡɛɪvlæx
baitíneach,baːtɪ́næx
neamhchúthail,nævxʊ́haːl
creig-ghairdín,krɛɪɡ-ɣaːrdɪ́n
castaíocht,kastaː́ɔxt
giombal,ɡɔːmbal
cróicín,krɔ́ɪkɪ́n
allatróp,alˠatrɔ́p
nap,nap
méan,mɛ́an
lánfhada,lánada
rufachán,rʊfaxán
taibhsiúlacht,taːvsɪʊ́laxt
roinn,rɪːnˠ
fios,fɔːs
micreacnamaíocht,mɪkræknamaː́ɔxt
deann,dænˠ
eachtrannach,æxtranˠax
cailicín,kaːlɪkɪ́n
leathdhéanach,læhɣɛ́anax
atíolacadh,atɪ́ɔlakaɣ
slatach,slatax
leadhbóg,læɣbɔ́ɡ
neamh-aireach,næv-aːræx
méaracht,mɛ́araxt
tíosach,tɪ́ɔsax
gáitéar,ɡáɪtɛ́ar
tríphistileach,trɪ́fɪstɪlæx
créitín,krɛ́ɪtɪ́n
amhscarthanach,avskarhanax
taispeántóir,taːspǽntɔ́ɪr
rámhaille,rávaːlˠɛ
sríoc,srɪ́ɔk
athchoirt,ahxɪːrt
láimhsiú,láɪvsɪʊ́
tionóntán,tɔːnɔ́ntán
maoscail,maɔskaːl
sparrachroch,sparˠaxrɔx
téachtán,tɛ́axtán
béal-láidir,bɛ́al-láɪdɪr
éascaigh,ɛ́askaːɣ
fordhroim,fɔrɣrɪːm
griothalánach,ɡrɔːhalánax
seamsóg,sæmsɔ́ɡ
sóch,sɔ́x
draeinphíobán,draɛɪnfɪ́ɔbán
geilleagar,ɡɛɪlˠæɡar
hidriginigh,hɪdrɪɡɪnɪɣ
spíonadóir,spɪ́ɔnadɔ́ɪr
bágh,báɣ
bóiricín,bɔ́ɪrɪkɪ́n
frasach,frasax
néaralú,nɛ́aralʊ́
deasóg,dæsɔ́ɡ
triantánach,trɪantánax
blas,blas
faobhrach,faɔvrax
filleachán,fɪlˠæxán
conraitheoir,kɔnraːhɔːɪr
sraonaire,sraɔnaːrɛ
baclámh,bakláv
clannaigh,klanˠaːɣ
corrchothroime,kɔrˠxɔhrɪːmɛ
borrán,bɔrˠán
fabhraíoch,favraː́ɔx
Íoslannach,Íɔslanˠax
cúnantaí,kʊ́nantaː́
bocaí,bɔkaː́
móilíneach,mɔ́ɪlɪ́næx
craplaigh,kraplaːɣ
gulba,ɡʊlba
urchall,ʊrxalˠ
trodach,trɔdax
corandam,kɔrandam
colach,kɔlax
fionnuar,fɔːnˠʊər
naomhaí,naɔvaː́
sprochaille,sprɔxaːlˠɛ
laochasach,laɔxasax
eanglamtha,ænɡlamha
picil,pɪkɪl
normalú,nɔrmalʊ́
mallradharcach,malˠraɣarkax
fill,fɪlˠ
gangaideach,ɡanɡaːdæx
friochanta,frɔːxanta
foracan,fɔrakan
piriteicniúil,pɪrɪtɛɪknɪʊ́ɪl
mionchothaitheach,mɔːnxɔhaːhæx
oidhreachtúlacht,ɪːɣræxtʊ́laxt
clogarán,klɔɡarán
síobthomhas,sɪ́ɔbhɔvas
ceapachóir,kæpaxɔ́ɪr
lámhléim,lávlɛ́ɪm
corrfhiacail,kɔrˠɪakaːl
ardcheannach,ardxænˠax
ionsaigh,ɔːnsaːɣ
corrach,kɔrˠax
anairt,anaːrt
oirniú,ɪːrnɪʊ́
glórach,ɡlɔ́rax
seabhdar,sævdar
ionbhár,ɔːnvár
critíc,krɪtɪ́k
téarnaigh,tɛ́arnaːɣ
taibhsigh,taːvsɪɣ
sleamchúis,slæmxʊ́ɪs
laomtha,laɔmha
líneálach,lɪ́nǽlax
leathbhéal,læhvɛ́al
frithsheasmhacht,frɪhhæsvaxt
isileictreach,ɪsɪlɛɪktræx
teallúiriam,tælˠʊ́ɪrɪam
féinbheartach,fɛ́ɪnværtax
tinneallach,tɪnˠælˠax
sicfhéar,sɪkɛ́ar
teampall,tæmpalˠ
néiriad,nɛ́ɪrɪad
caill,kaːlˠ
buirgéiseach,bʊɪrɡɛ́ɪsæx
céatadán,kɛ́atadán
túsaigh,tʊ́saːɣ
ocras,ɔkras
mionrabh,mɔːnrav
ceiribíneach,kɛɪrɪbɪ́næx
bús,bʊ́s
smúr,smʊ́r
éireog,ɛ́ɪrɔːɡ
spleodrach,splɔːdrax
sprúill,sprʊ́ɪlˠ
bústa,bʊ́sta
príomhphearsa,prɪ́ɔvfærsa
céilsine,kɛ́ɪlsɪnɛ
seacál,sækál
fostúch,fɔstʊ́x
snua-ungadh,snʊə-ʊnɡaɣ
éanúil,ɛ́anʊ́ɪl
bata,bata
salachar,salaxar
ceibeabáil,kɛɪbæbáɪl
srathaireacht,srahaːræxt
clóscríbhneoireacht,klɔ́skrɪ́vnɔːɪræxt
smúrabhán,smʊ́raván
teitreachorda,tɛɪtræxɔrda
teile,tɛɪlɛ
eisíocaíocht,ɛɪsɪ́ɔkaː́ɔxt
liath,lɪah
dogadáil,dɔɡadáɪl
calmacht,kalmaxt
spícín,spɪ́kɪ́n
maisealaca,maːsælaka
anaemach,anaɛmax
banscriú,banskrɪʊ́
gannchúis,ɡanˠxʊ́ɪs
cranda,kranda
Agaistíneach,Aɡaːstɪ́næx
míogach,mɪ́ɔɡax
mionairgead,mɔːnaːrɡæd
glam,ɡlam
creic,krɛɪk
rinnfheifeach,rɪnˠɛɪfæx
smaointeacht,smaɪːntæxt
ciamhaire,kɪavaːrɛ
coilíneacht,kɪːlɪ́næxt
crómafór,krɔ́mafɔ́r
fuilchoirpín,fʊɪlxɪːrpɪ́n
rac,rak
luascán,lʊəskán
casdlaoi,kasdlaɪː
stiúrú,stɪʊ́rʊ́
céasta,kɛ́asta
nuafhaiseanta,nʊəaːsænta
sceall,skælˠ
diabhlaíocht,dɪavlaː́ɔxt
easmailt,æsmaːlt
jeaimeáil,jæːmǽɪl
brífhocal,brɪ́ɔkal
inneallbhainte,ɪnˠælˠvaːntɛ
tionsclach,tɔːnsklax
bóisceálach,bɔ́ɪskǽlax
bunoideachas,bʊnɪːdæxas
garbh-bhéal,ɡarv-vɛ́al
ubhán,ʊván
leictrigh,lɛɪktrɪɣ
Albáinis,Albáɪnɪs
líomatáiste,lɪ́ɔmatáɪstɛ
crócharnaid,krɔ́xarnaːd
ceannbhalla,kænˠvalˠa
plútacrat,plʊ́takrat
Veindéach,Vɛɪndɛ́ax
carbh,karv
foclóireolaíocht,fɔklɔ́ɪrɔːlaː́ɔxt
Fionlainnis,Fɔːnlaːnˠɪs
bobaire,bɔbaːrɛ
glámach,ɡlámax
téagar,tɛ́aɡar
díshamhlaigh,dɪ́havlaːɣ
lacailit,lakaːlɪt
réamhthús,rɛ́avhʊ́s
blaoscadh,blaɔskaɣ
Gael,Gaɛl
rufa,rʊfa
damantacht,damantaxt
dual,dʊəl
gnáthchaitheamh,ɡnáhxaːhæv
riseamorfach,rɪsæmɔrfax
cipeadraíl,kɪpædraː́l
micsimícéit,mɪksɪmɪ́kɛ́ɪt
teith,tɛɪh
ciúnadóir,kɪʊ́nadɔ́ɪr
stálaigh,stálaːɣ
fornasc,fɔrnask
tarraingí,tarˠaːnɡɪ́
urchuil,ʊrxʊɪl
dubhoighear,dʊvɪːɣær
buí,bʊɪ́
srúill,srʊ́ɪlˠ
marcach,markax
cóisir,kɔ́ɪsɪr
lumbágó,lʊmbáɡɔ́
cúnaigh,kʊ́naːɣ
ilíocht,ɪlɪ́ɔxt
Seapáinis,Sæpáɪnɪs
armghéag,armɣɛ́aɡ
starrach,starˠax
gothaíocht,ɡɔhaː́ɔxt
fódmhar,fɔ́dvar
sprúilleog,sprʊ́ɪlˠɔːɡ
spasmacht,spasmaxt
dileagla,dɪlæɡla
brionglóid,brɔːnɡlɔ́ɪd
nuachtscannán,nʊəxtskanˠán
sligreach,slɪɡræx
suaitheanta,sʊəːhænta
broidearnúil,brɪːdærnʊ́ɪl
lóistéir,lɔ́ɪstɛ́ɪr
leathuair,læhʊəːr
meathgháire,mæhɣáɪrɛ
ruathar,rʊəhar
rum,rʊm
iarratas,ɪarˠatas
stuachloch,stʊəxlɔx
ruainne,rʊəːnˠɛ
amscála,amskála
stuamacht,stʊəmaxt
craobhscaoil,kraɔvskaɪːl
dearbhchló,dærvxlɔ́
madraíocht,madraː́ɔxt
cráitéar,kráɪtɛ́ar
aililiú,aːlɪlɪʊ́
taifeadadh,taːfædaɣ
saoithíneacht,saɪːhɪ́næxt
taisdíon,taːsdɪ́ɔn
greagnaigh,ɡræɡnaːɣ
stopachán,stɔpaxán
scadhrach,skaɣrax
glacadóireacht,ɡlakadɔ́ɪræxt
drochshláinteach,drɔxhláɪntæx
poigheachán,pɪːɣæxán
cnámhleisce,knávlɛɪskɛ
gearrachán,ɡærˠaxán
athchomhairle,ahxɔvaːrlɛ
barrithir,barˠɪhɪr
iarfhaighte,ɪaraːɣtɛ
loic,lɪːk
astar,astar
úcaireacht,ʊ́kaːræxt
lachóigín,laxɔ́ɪɡɪ́n
cnag,knaɡ
íostaobh,ɪ́ɔstaɔv
treamhnaigh,trævnaːɣ
míméagraf,mɪ́mɛ́aɡraf
pliúrainiúmóine,plɪʊ́raːnɪʊ́mɔ́ɪnɛ
colaicisteachtóime,kɔlaːkɪstæxtɔ́ɪmɛ
pairhéilean,paːrhɛ́ɪlæn
eiseach,ɛɪsæx
deisiú,dɛɪsɪʊ́
rothdhiosca,rɔhɣɔːska
faladhúdaí,falaɣʊ́daː́
nathaí,nahaː́
réamhscéal,rɛ́avskɛ́al
bualtaigh,bʊəltaːɣ
líobóideacht,lɪ́ɔbɔ́ɪdæxt
fáschíle,fásxɪ́lɛ
prochógach,prɔxɔ́ɡax
meamhlachán,mævlaxán
scáfar,skáfar
fadmhuineálach,fadvʊɪnǽlax
maisuimhir,maːsʊɪvɪr
grafán,ɡrafán
aldóláis,aldɔ́láɪs
sníomhachán,snɪ́ɔvaxán
forluiteacht,fɔrlʊɪtæxt
scrioptúrtha,skrɔːptʊ́rha
mealltach,mælˠtax
fosú,fɔsʊ́
Lochlannach,Lɔxlanˠax
ilcheallach,ɪlxælˠax
daorbhacach,daɔrvakax
cloíteoir,klɪː́tɔːɪr
neamhchúramach,nævxʊ́ramax
púitseáil,pʊ́ɪtsǽɪl
cúnantaigh,kʊ́nantaːɣ
sícinéaróis,sɪ́kɪnɛ́arɔ́ɪs
Slóvacach,Slɔ́vakax
crobhán,krɔván
scaradóir,skaradɔ́ɪr
puinseáil,pʊɪnsǽɪl
Nua-Ghall,Nʊə-Ghalˠ
deasú,dæsʊ́
marsúipiach,marsʊ́ɪpɪax
scragallach,skraɡalˠax
gaothluchtaire,ɡaɔhlʊxtaːrɛ
áilíosach,áɪlɪ́ɔsax
stumpáil,stʊmpáɪl
daorlíne,daɔrlɪ́nɛ
athaimsigh,ahaːmsɪɣ
cairíne,kaːrɪ́nɛ
toghraim,tɔɣraːm
dearnadóir,dærnadɔ́ɪr
corónach,kɔrɔ́nax
forchoimhéad,fɔrxɪːvɛ́ad
iomard,ɔːmard
broncas,brɔnkas
lúman,lʊ́man
brisiúnas,brɪsɪʊ́nas
neamhéilithe,nævɛ́ɪlɪhɛ
cileavata,kɪlævata
campálaí,kampálaː́
aontumha,aɔntʊva
géillphointe,ɡɛ́ɪlˠfɪːntɛ
cuarlíneach,kʊərlɪ́næx
foilsitheoireacht,fɪːlsɪhɔːɪræxt
réamhaithris,rɛ́avaːhrɪs
cógaseolaíocht,kɔ́ɡasɔːlaː́ɔxt
stóchúil,stɔ́xʊ́ɪl
daonscoil,daɔnskɪːl
seileach,sɛɪlæx
nóibhilléad,nɔ́ɪvɪlˠɛ́ad
cearbh,kærv
tríomarán,trɪ́ɔmarán
compún,kɔmpʊ́n
breacáireamh,brækáɪræv
forchló,fɔrxlɔ́
fomhuirí,fɔvʊɪrɪ́
cleipteamáine,klɛɪptæmáɪnɛ
aracnóideach,araknɔ́ɪdæx
deargnocht,dærɡnɔxt
ól,ɔ́l
inimirce,ɪnɪmɪrkɛ
sonnach,sɔnˠax
dobhracht,dɔvraxt
dochma,dɔxma
fothaispeántas,fɔhaːspǽntas
glasphéarlach,ɡlasfɛ́arlax
ámharach,ávarax
príomhchinnire,prɪ́ɔvxɪnˠɪrɛ
scoilteadh,skɪːltæɣ
frithiontráil,frɪhɔːntráɪl
fótashamhail,fɔ́tahavaːl
meilteoir,mɛɪltɔːɪr
éideafón,ɛ́ɪdæfɔ́n
téipthaifeadán,tɛ́ɪphaːfædán
teagasc,tæɡask
biostúr,bɔːstʊ́r
fulangach,fʊlanɡax
scóradh,skɔ́raɣ
muc,mʊk
sarcómach,sarkɔ́max
aimhleisciúil,aːvlɛɪskɪʊ́ɪl
díolghadhach,dɪ́ɔlɣaɣax
cinsiriúil,kɪnsɪrɪʊ́ɪl
sorthan,sɔrhan
beagmhéid,bæɡvɛ́ɪd
fadhbh,faɣv
marbh,marv
beannachtach,bænˠaxtax
fochallach,fɔxalˠax
fótachóipeálaí,fɔ́taxɔ́ɪpǽlaː́
hiditid,hɪdɪtɪd
traidisiúnaí,traːdɪsɪʊ́naː́
díomhaoineach,dɪ́ɔvaɪːnæx
fadscríob,fadskrɪ́ɔb
rama,rama
pirimid,pɪrɪmɪd
éacúiméineachas,ɛ́akʊ́ɪmɛ́ɪnæxas
sculcaireacht,skʊlkaːræxt
ocrach,ɔkrax
Viseagotach,Vɪsæɡɔtax
blocshliabh,blɔxlɪav
goraí,ɡɔraː́
fadcheannaitheach,fadxænˠaːhæx
scóna,skɔ́na
coilichín,kɪːlɪxɪ́n
póidiam,pɔ́ɪdɪam
cniotálaí,knɔːtálaː́
cruth,krʊh
clingireacht,klɪnɡɪræxt
dáileoir,dáɪlɔːɪr
deoirfhliuch,dɔːɪrlɪʊx
mísheasmhach,mɪ́hæsvax
ionnail,ɔːnˠaːl
ciall,kɪalˠ
hiostaimín,hɔːstaːmɪ́n
ingear,ɪnɡær
ardéacht,ardɛ́axt
clársheoltóireacht,klárhɔːltɔ́ɪræxt
tuinairde,tʊɪnaːrdɛ
guairille,ɡʊəːrɪlˠɛ
sciathlúireach,skɪahlʊ́ɪræx
suaimhnigh,sʊəːvnɪɣ
toghchóras,tɔɣxɔ́ras
tonnchruth,tɔnˠxrʊh
imthreascair,ɪmhræskaːr
míshláintiúil,mɪ́hláɪntɪʊ́ɪl
mioneangach,mɔːnænɡax
boglach,bɔɡlax
sleamhaine,slævaːnɛ
leacht,læxt
faill,faːlˠ
caomhantas,kaɔvantas
aicne,aːknɛ
pálás,pálás
céimleasc,kɛ́ɪmlæsk
bac-chosach,bak-xɔsax
duivé,dʊɪvɛ́
urghráinigh,ʊrɣráɪnɪɣ
drúiseach,drʊ́ɪsæx
míoleolaíoch,mɪ́ɔlɔːlaː́ɔx
seanchleachtadh,sænxlæxtaɣ
cairpéad,kaːrpɛ́ad
amfaimiscis,amfaːmɪskɪs
iomaire,ɔːmaːrɛ
aeróbach,aɛrɔ́bax
méiniúlacht,mɛ́ɪnɪʊ́laxt
cuimilt,kʊɪmɪlt
tagarmharcáil,taɡarvarkáɪl
neamhchorrabhuais,nævxɔrˠavʊəːs
cónaidhmeach,kɔ́naːɣmæx
smealt,smælt
neamhoibríoch,nævɪːbrɪ́ɔx
beagthairbhe,bæɡhaːrvɛ
fáiteallaí,fáɪtælˠaː́
inbhraite,ɪnvraːtɛ
cumhachtaigh,kʊvaxtaːɣ
rabh,rav
ceathrúnach,kæhrʊ́nax
mímhoráltacht,mɪ́vɔráltaxt
íorna,ɪ́ɔrna
crochán,krɔxán
cíoná,kɪ́ɔná
údar,ʊ́dar
áiritheoir,áɪrɪhɔːɪr
goisteacht,ɡɪːstæxt
ionsúigh,ɔːnsʊ́ɪɣ
éaglann,ɛ́aɡlanˠ
bruachalán,brʊəxalán
líne,lɪ́nɛ
foroinn,fɔrɪːnˠ
leochaileach,lɔːxaːlæx
aolghealadh,aɔlɣælaɣ
concordáid,kɔnkɔrdáɪd
mí-ionraic,mɪ́-ɔːnraːk
militeach,mɪlɪtæx
aerbhrat,aɛrvrat
óiriad,ɔ́ɪrɪad
cruit,krʊɪt
muinteartha,mʊɪntærha
dea-thuairisc,dæ-hʊəːrɪsk
beochán,bɔːxán
mórmhuir,mɔ́rvʊɪr
ithirchrios,ɪhɪrxrɔːs
carraeir,karˠaɛɪr
díobh,dɪ́ɔv
acairíneach,akaːrɪ́næx
maothgháire,maɔhɣáɪrɛ
radaigineach,radaːɡɪnæx
sastrúga,sastrʊ́ɡa
locáil,lɔkáɪl
leathach,læhax
comhdhlúth,kɔvɣlʊ́h
ruithnigh,rʊɪhnɪɣ
réabán,rɛ́abán
Cairmilíteach,Caːrmɪlɪ́tæx
diúscairt,dɪʊ́skaːrt
mionsraith,mɔːnsraːh
falcaire,falkaːrɛ
imtheorannú,ɪmhɔːranˠʊ́
uingeach,ʊɪnɡæx
luimneach,lʊɪmnæx
fual-lamhnán,fʊəl-lavnán
cuachadh,kʊəxaɣ
gríobh,ɡrɪ́ɔv
blagaid,blaɡaːd
leibidínteacht,lɛɪbɪdɪ́ntæxt
léibheann,lɛ́ɪvænˠ
leithreasaigh,lɛɪhræsaːɣ
dáileach,dáɪlæx
baraiseismeach,baraːsɛɪsmæx
méadláil,mɛ́adláɪl
brúchneá,brʊ́xnǽ
geirspota,ɡɛɪrspɔta
rothadóir,rɔhadɔ́ɪr
baothghlóir,baɔhɣlɔ́ɪr
scrabh,skrav
Dúitseach,Dʊ́ɪtsæx
neascóid,næskɔ́ɪd
bánghnéitheach,bánɣnɛ́ɪhæx
siotaíl,sɔːtaː́l
fachtóir,faxtɔ́ɪr
gabhdóg,ɡavdɔ́ɡ
mírath,mɪ́rah
dabha,dava
vearúca,værʊ́ka
drochsheans,drɔxhæns
bómántacht,bɔ́mántaxt
spárálaí,spárálaː́
seasta,sæsta
leisíneach,lɛɪsɪ́næx
durnánaí,dʊrnánaː́
niatacht,nɪataxt
táibhleach,táɪvlæx
comhdhéanta,kɔvɣɛ́anta
réal,rɛ́al
feochraigh,fɔːxraːɣ
doirb,dɪːrb
camall,kamalˠ
fuaimint,fʊəːmɪnt
giobal,ɡɔːbal
fuaimintiúil,fʊəːmɪntɪʊ́ɪl
sláinteachas,sláɪntæxas
stéaráit,stɛ́aráɪt
tointe,tɪːntɛ
únfartálaí,ʊ́nfartálaː́
athghin,ahɣɪn
droimneach,drɪːmnæx
iarmhéil,ɪarvɛ́ɪl
bithlonrach,bɪhlɔnrax
braimleog,braːmlɔːɡ
Iarúbach,Iarʊ́bax
aisig,aːsɪɡ
scól,skɔ́l
gealadh,ɡælaɣ
pearsanta,pærsanta
mionpheannaireacht,mɔːnfænˠaːræxt
cumaidh,kʊmaːɣ
ógfhear,ɔ́ɡær
broicéadaigh,brɪːkɛ́adaːɣ
tungstáit,tʊnɡstáɪt
snapadh,snapaɣ
foibhé,fɪːvɛ́
carbóinil,karbɔ́ɪnɪl
díbheirg,dɪ́vɛɪrɡ
míogadán,mɪ́ɔɡadán
scoiltire,skɪːltɪrɛ
tuile,tʊɪlɛ
geiltghlinneach,ɡɛɪltɣlɪnˠæx
soscéala,sɔskɛ́ala
píoráideach,pɪ́ɔráɪdæx
olmóid,ɔlmɔ́ɪd
leath-thunna,læh-hʊnˠa
breacán,brækán
fophláinéad,fɔfláɪnɛ́ad
briotais,brɔːtaːs
labharthacht,lavarhaxt
tóc,tɔ́k
débhunata,dɛ́vʊnata
jabrothlú,jabrɔhlʊ́
Oráisteachas,Oráɪstæxas
séidtriomaigh,sɛ́ɪdtrɔːmaːɣ
faillitheacht,faːlˠɪhæxt
roillimint,rɪːlˠɪmɪnt
marcshlua,marxlʊə
bainniúlacht,baːnˠɪʊ́laxt
leataobh,lætaɔv
giolc,ɡɔːlk
gleacaíoch,ɡlækaː́ɔx
dreoilín,drɔːɪlɪ́n
ruibh,rʊɪv
oirní,ɪːrnɪ́
toice,tɪːkɛ
imshocraigh,ɪmhɔkraːɣ
gríoscóir,ɡrɪ́ɔskɔ́ɪr
moiglíocht,mɪːɡlɪ́ɔxt
náibhíocht,náɪvɪ́ɔxt
magarlach,maɡarlax
fochma,fɔxma
cruthaigh,krʊhaːɣ
meathchodladh,mæhxɔdlaɣ
coimircíocht,kɪːmɪrkɪ́ɔxt
tiontaire,tɔːntaːrɛ
Breatnach,Brætnax
mórphianó,mɔ́rfɪanɔ́
gusta,ɡʊsta
sainmharc,saːnvark
ardfhuil,ardʊɪl
