aback,əˈbæk
powerfully,ˈpaʊɝfɫi
practically,ˈpɹæktɪkəɫi
pragmatically,pɹæɡˈmætɪkəɫi
precariously,pɹɪˈkɛɹiəsɫi
precious,ˈpɹɛʃəs
precipitously,ˌpɹiˈsɪpɪtəsɫi
precisely,pɹiˈsaɪsɫi
predictably,pɹɪˈdɪktəbɫi
predominantly,ˌpɹɪˈdɑmənəntˌɫi
preferably,ˈpɹɛfɝəbɫi
preferentially,ˌpɹɛfɝˈɛnʃəɫi
prematurely,ˌpɹiməˈtʃʊɹɫi
presently,ˈpɹɛzəntɫi
presidentially,ˌpɹɛsɪˈdɛnʃəɫi
presto,ˈpɹɛsˌtoʊ
presumably,pɹəˈzuməbɫi
previously,ˈpɹiviəsɫi
primarily,pɹaɪˈmɛɹəɫi
primly,ˈpɹɪmɫi
privately,ˈpɹaɪvətɫi
pro,ˈpɹoʊ
probabilistically,ˌpɹɑbəbɪˈɫɪstəkɫi
probably,ˈpɹɑbəˌbɫi
prodigiously,pɹoʊˈdɪdʒɪsɫi
productively,pɝˈdəktɪvɫi
professionally,pɹəˈfɛʃənəɫi
profoundly,pɹoʊˈfaʊndɫi
prohibitively,pɹoʊˈhɪbətɪvɫi
prominently,ˈpɹɑmənəntɫi
promptly,ˈpɹɑmpɫi
properly,ˈpɹɑpɝɫi
proportionately,pɹəˈpɔɹʃənətɫi
protectively,pɹəˈtɛktɪvɫi
proudly,ˈpɹaʊdɫi
provincially,pɹəˈvɪnʃəɫi
provisionally,pɹəˈvɪʒənəɫi
provocatively,pɹoʊˈvɑkətɪvɫi
prudently,ˈpɹudəntɫi
psychologically,ˌsaɪkəˈɫɑdʒɪkɫi
publicly,ˈpəbɫɪkɫi
pungently,ˈpəndʒəntɫi
punishingly,ˈpənɪʃɪŋɫi
purportedly,pɝˈpɔɹtɪdˌɫi
purposefully,ˈpɝpəsfəɫi
quaintly,ˈkweɪntɫi
qualitatively,ˌkwɑɫəˈteɪtɪvɫi
quantitatively,ˌkwɑntɪˈteɪtəvɫi
quarterly,ˈkwɔɹtɝɫi
quicker,ˈkwɪkɝ
quickest,ˈkwɪkɪst
quickly,ˈkwɪkɫi
quietly,ˈkwaɪətɫi
quite,ˈkwaɪt
racially,ˈɹeɪʃəɫi
radially,ˈɹeɪdiəɫi
radically,ˈɹædɪkɫi
randomly,ˈɹændəmɫi
rarely,ˈɹɛɹɫi
rather,ˈɹæðɝ
rationally,ˈɹæʃənəɫi
readily,ˈɹɛdəɫi
realistically,ˌɹiəˈɫɪstɪkɫi
reasonably,ˈɹizənəbɫi
reassuringly,ɹiəˈʃɝɪŋɫi
recently,ˈɹisənɫi
recklessly,ˈɹɛkɫəsɫi
recognizably,ˈɹɛkəɡˌnaɪzəbɫi
refreshingly,ɹiˈfɹɛʃɪŋɫi
regally,ˈɹiɡəɫi
regionally,ˈɹidʒənəɫi
regretfully,ɹɪˈɡɹɛtfəɫi
regularly,ˈɹɛɡjəɫɝɫi
relatively,ˈɹɛɫətɪvɫi
relentlessly,ɹɪˈɫɛntɫəsɫi
religiously,ɹɪˈɫɪdʒəsɫi
reluctantly,ɹɪˈɫəktəntɫi
remotely,ɹiˈmoʊtɫi
repeatedly,ɹɪˈpitɪdɫi
reportedly,ɹiˈpɔɹtədɫi
reputedly,ɹɪpˈjutɪdɫi
resolutely,ˈɹɛsəˌɫutɫi
respectably,ɹiˈspɛktəbɫi
respectfully,ɹɪˈspɛktfəɫi
respectively,ɹɪˈspɛktɪvɫi
responsibly,ɹɪˈspɑnsəbɫi
retroactively,ˌɹɛtɹoʊˈæktɪvɫi
retrospectively,ˌɹɛtɹoʊˈspɛktɪvɫi
rhetorically,ɹəˈtɔɹɪkɫi
rhythmically,ˈɹɪðmɪkɫi
right,ˈɹaɪt
righteously,ˈɹaɪtʃəsɫi
rightfully,ˈɹaɪtfəɫi
rightly,ˈɹaɪtɫi
rigidly,ˈɹɪdʒɪdɫi
rigorously,ˈɹɪɡɝəsɫi
roaring,ˈɹɔɹɪŋ
robustly,ˌɹoʊˈbəstɫi
romantically,ɹoʊˈmæntɪkəɫi
rotationally,ɹoʊˈteɪʃənəɫi
roughly,ˈɹəfɫi
round,ˈɹaʊnd
roundly,ˈɹaʊndɫi
royally,ˈɹɔɪəɫi
ruefully,ˈɹufəɫi
ruggedly,ˈɹəɡədɫi
ruthlessly,ˈɹuθɫəsɫi
sadly,ˈsædɫi
safely,ˈseɪfɫi
sarcastically,sɑɹˈkæstɪkɫi
satisfactorily,ˌsætɪsˈfæktɹəɫi
savagely,ˈsævɪdʒɫi
scantily,ˈskæntəɫi
scientifically,ˌsaɪənˈtɪfɪkəɫi
scorching,ˈskɔɹtʃɪŋ
screamingly,ˈskɹimɪŋɫi
scrupulously,ˈskɹupjəɫəsɫi
seasonally,ˈsizənəɫi
seaward,ˈsiwɝd
second,ˈsɛkənd
secondarily,ˌsɛkənˈdɛɹəɫi
secondhand,ˈsɛkəndˌhænd
secretly,ˈsikɹɪtɫi
securely,sɪkˈjʊɹɫi
sedately,sɪˈdeɪtɫi
seductively,səˈdəktɪvɫi
selectively,səˈɫɛktɪvɫi
semiannually,ˌsɛmaɪˈænuəɫi
sensitively,ˈsɛnsɪtɪvɫi
serenely,sɝˈinəɫi
seriously,ˈsɪɹiəsɫi
sevenfold,ˈsɛvənˌfoʊɫd
sexually,ˈsɛkʃuəɫi
sharply,ˈʃɑɹpɫi
sheepishly,ˈʃipɪʃɫi
sheer,ˈʃɪɹ
shockingly,ˈʃɑkɪŋɫi
short,ˈʃɔɹt
shortly,ˈʃɔɹtɫi
sic,ˈsɪk
sidearm,ˈsaɪdɑɹm
sideways,ˈsaɪdˌweɪz
significantly,sɪɡˈnɪfɪkəntɫi
similarly,ˈsɪməɫɝɫi
simply,ˈsɪmpɫi
simultaneously,ˌsaɪməɫˈteɪniəsɫi
sincerely,sɪnˈsɪɹɫi
singly,ˈsɪŋɡɫi
singularly,ˈsɪŋɡjəɫɝɫi
sinusoidally,ˌsaɪnəˈsɔɪdəɫi
sixfold,ˈsɪksˌfoʊɫd
skillfully,ˈskɪɫfəɫi
skyward,ˈskaɪwɝd
slapdash,ˈsɫæpˌdæʃ
slavishly,ˈsɫævɪʃɫi
sleepily,ˈsɫipəɫi
slightly,ˈsɫaɪtɫi
sloppily,ˈsɫɑpəɫi
slower,ˈsɫoʊɝ
slowest,ˈsɫoʊəst
slowly,ˈsɫoʊɫi
sluggishly,ˈsɫəɡɪʃɫi
small,ˈsmɔɫ
smartly,ˈsmɑɹtɫi
smash,ˈsmæʃ
smilingly,ˈsmaɪɫɪŋɫi
smoothly,ˈsmuðɫi
smugly,ˈsməɡɫi
snugly,ˈsnəɡɫi
so,ˈsoʊ
soaking,ˈsoʊkɪŋ
sobbingly,ˈsɑbɪŋɫi
socially,ˈsoʊʃəɫi
softly,ˈsɔfɫi
solemnly,ˈsɔɫəmɫi
solidly,ˈsɑɫədɫi
someday,ˈsəmˌdeɪ
somehow,ˈsəmˌhaʊ
sometime,ˈsəmˌtaɪm
sometimes,ˈsəmˌtaɪmz
somewhere,ˈsəmˌwɛɹ
soon,ˈsun
soonest,ˈsunəst
soothingly,ˈsuðɪŋɫi
sorely,ˈsɔɹɫi
soundly,ˈsaʊndɫi
south,ˈsaʊθ
southeast,ˌsaʊˈθist
southerly,ˈsəðɝɫi
southwest,ˌsaʊθˈwɛst
sparsely,ˈspɑɹsɫi
spasmodically,spæzˈmɔdɪkɫi
specially,ˈspɛʃəɫi
specifically,spəˈsɪfɪkɫi
spectacularly,spɛkˈtækjəɫɝɫi
spiritually,ˈspɪɹɪˌtʃuəˌɫi
spontaneously,spɑnˈteɪniəsɫi
sporadically,spɝˈædɪkɫi
sportingly,ˈspɔɹtɪŋɫi
squarely,ˈskwɛɹɫi
staccato,stəˈkɑˌtoʊ
stark,ˈstɑɹk
starkly,ˈstɑɹkɫi
startlingly,ˈstɑɹtɫɪŋˌɫi
statistically,stəˈtɪstɪkəɫi
statutorily,ˈstætʃəˌtɔɹəɫi
staunchly,ˈstɔntʃɫi
steadily,ˈstɛdəɫi
steeply,ˈstipɫi
stereotypically,ˌstɛɹioʊˈtɪpɪkəˌɫi
sternly,ˈstɝnɫi
stiff,ˈstɪf
stiffly,ˈstɪfɫi
still,ˈstɪɫ
stochastically,stoʊˈkæstɪkəˌɫi
stoically,ˈstoʊɪkɫi
stoutly,ˈstaʊtɫi
straight,ˈstɹeɪt
strategically,stɹəˈtidʒɪkɫi
strenuously,ˈstɹɛnjuəsɫi
strictly,ˈstɹɪktɫi
stridently,ˈstɹaɪdəntɫi
strikingly,ˈstɹaɪkɪŋɫi
strongly,ˈstɹɔŋɫi
structurally,ˈstɹəktʃɝəɫi
stubbornly,ˈstəbɝnɫi
studiously,ˈstudiəsɫi
stupidly,ˈstupədɫi
stylishly,ˈstaɪɫɪʃɫi
stylistically,staɪˈɫɪstɪkɫi
subconsciously,səbˈkɑnʃəsɫi
subsequently,ˈsəbsəkwəntɫi
substantially,səbˈstænʃəɫi
subtly,ˈsətəɫi
successfully,səkˈsɛsfəɫi
successively,səkˈsɛsɪvɫi
succinctly,səkˈsɪŋktɫi
such,ˈsətʃ
suddenly,ˈsədənɫi
sufficiently,səˈfɪʃəntɫi
summarily,səˈmɛɹɪɫi
superficially,ˈsupɝˌfɪʃəɫi
supremely,suˈpɹiməɫi
surely,ˈʃʊɹɫi
surgically,ˈsɝdʒɪkəɫi
surprisingly,səˈpɹaɪzɪŋɫi
surreptitiously,ˌsɝəpˈtɪʃəsɫi
suspiciously,səˈspɪʃəsɫi
sweetly,ˈswitɫi
swiftly,ˈswɪftɫi
symbolically,sɪmˈbɑɫɪkəɫi
symmetrically,səˈmɛtɹɪkɫi
sympathetically,ˌsɪmpəˈθɛtɪkəɫi
synonymously,səˈnɑnəməsɫi
synthetically,sɪnˈθɛtɪkɫi
systematically,ˌsɪstəˈmætɪkɫi
tacitly,ˈtæsɪtɫi
tactfully,ˈtæktfəɫi
tactically,ˈtæktɪkəɫi
tandem,ˈtændəm
tangentially,tænˈdʒɛnʃəɫi
tangibly,ˈtændʒəbɫi
tantalizingly,ˈtænəˌɫaɪzɪŋɫi
tartly,ˈtɑɹtɫi
tastefully,ˈteɪstfəɫi
tearfully,ˈtɪɹfəɫi
technically,ˈtɛknɪkəɫi
technologically,ˌtɛknəˈɫɑdʒɪkəɫi
tellingly,ˈtɛɫɪŋɫi
temperamentally,ˌtɛmpɝˈmɛnəɫi
temporally,ˈtɛmpɝəɫi
temporarily,ˌtɛmpɝˈɛɹəɫi
tenderly,ˈtɛndɝɫi
tenfold,ˈtɛnˌfoʊɫd
tensely,ˈtɛnsɫi
tentatively,ˈtɛntətɪvɫi
terminally,ˈtɝmənəɫi
terribly,ˈtɛɹəbɫi
territorially,ˌtɛɹɪˈtɔɹiəɫi
testily,ˈtɛstəɫi
thankfully,ˈθæŋkfəɫi
theatrically,θiˈætɹɪkəˌɫi
thematically,θəˈmætɪkɫi
then,ˈðɛn
thence,ˈðɛns
theologically,ˌθiəˈɫɑdʒɪkɫi
theoretically,ˌθiɝˈɛtɪkəɫi
therapeutically,ˌθɛɹəpˈjutɪkəɫi
there,ˈðɛɹ
thereafter,ðɛˈɹæftɝ
thereby,ˈðɛɹˈbaɪ
therefore,ˈðɛɹˌfɔɹ
therein,ðɛˈɹɪn
thereof,ˌðɛˈɹəv
thereon,ðɛˈɹɔn
thereto,ˈðɛɹˌtu
thick,ˈθɪk
thickly,ˈθɪkɫi
thinly,ˈθɪnɫi
third,ˈθɝd
thoroughly,ˈθɝoʊɫi
though,ˈðoʊ
thoughtfully,ˈθɔtfəɫi
threefold,ˈθɹiˌfoʊɫd
thrice,ˈθɹaɪs
through,ˈθɹu
throughout,θɹuˈaʊt
thus,ˈðəs
tightly,ˈtaɪtɫi
tiptoe,ˈtɪpˌtoʊ
today,təˈdeɪ
together,təˈɡɛðɝ
tomorrow,təˈmɑˌɹoʊ
tonight,təˈnaɪt
traditionally,tɹəˈdɪʃənəɫi
tragically,ˈtɹædʒɪkɫi
transparently,tɹænˈspɛɹəntɫi
tremulously,ˈtɹɛmjəɫəsɫi
triumphantly,tɹaɪˈəmfəntɫi
truly,ˈtɹuɫi
truthfully,ˈtɹuθfəɫi
twice,ˈtwaɪs
twofold,ˈtuˈfoʊɫd
typically,ˈtɪpɪkəɫi
unabashedly,ˌənəˈbæʃɪdɫi
unacceptably,ˌənækˈsɛptəbɫi
unaccountably,ˌənəˈkaʊntəbɫi
unalterably,əˈnɔɫtɝəbɫi
unambiguously,ənæmˈbɪɡjuəsɫi
unanimously,juˈnænəməsɫi
unashamedly,ˌənəˈʃeɪmədɫi
unawares,ˌənəˈwɛɹz
unbeknown,ˌənbiˈnoʊn
unbelievably,ˌənbəˈɫivəbɫi
unceremoniously,ˌənˌsɛɹəˈmoʊniəsɫi
uncertainly,ənˈsɝtənɫi
uncharacteristically,ˌənˌkɛɹɪktɝˈɪstɪkɫi
uncomfortably,ənˈkəmftəbɫi
uncommonly,ˌənˈkɑmənɫi
unconditionally,ˌənkənˈdɪʃənəɫi
unconsciously,ˌənˈkɑnʃəsɫi
unconstitutionally,ˌənˌkɑnstəˈtuʃənəɫi
uncontrollably,ˌənkənˈtɹoʊɫəbɫi
uncritically,ənˈkɹɪtɪkəɫi
undeniably,ˌəndɪˈnaɪəbɫi
under,ˈəndɝ
underarm,ˌəndɝˈɑɹm
underfoot,ˌəndɝˈfʊt
underground,ˈəndɝˌɡɹaʊnd
underneath,ˌəndɝˈniθ
undiplomatically,ənˌdɪpɫəˈmætɪkɫi
undoubtedly,ənˈdaʊtɪdɫi
unduly,ənˈduɫi
unethically,əˈnɛθɪkɫi
unevenly,əˈnivənɫi
unexpectedly,ˌənɪkˈspɛktɪdɫi
unfailingly,ənˈfeɪɫɪŋɫi
unfairly,ənˈfɛɹɫi
unfavorably,ənˈfeɪvɝəbɫi
unfortunately,ənˈfɔɹtʃənətɫi
unhappily,ənˈhæpəɫi
unhesitatingly,ənˈhɛzɪˌteɪtɪŋɫi
uniformly,ˈjunəˌfɔɹmɫi
unilaterally,ˌjunəˈɫætɝəɫi
unintentionally,ˌənɪnˈtɛnʃənəɫi
uniquely,juˈnikɫi
universally,ˌjunəˈvɝsəɫi
unjustifiably,ˌənˌdʒəstɪˈfaɪəbɫi
unjustly,ənˈdʒəstɫi
unlawfully,ənˈɫɔfəɫi
unmistakably,ˌənmɪˈsteɪkəbɫi
unnaturally,əˈnætʃɝɫi
unnecessarily,ənˈnɛsəˌsɛɹəɫi
unofficially,ənəˈfɪʃəɫi
unpleasantly,ənˈpɫɛzəntɫi
unprecedentedly,ənˈpɹɛsəˌdɛntɪdɫi
unquestionably,ənˈkwɛstʃənəbɫi
unrealistically,ənˌɹiəˈɫɪstɪkɫi
unreasonably,ənˈɹizənəbɫi
unseasonably,ənˈsizənəbɫi
unsuccessfully,ˌənsəkˈsɛsfəɫi
unusually,ənˈjuˌʒuəɫi
unwillingly,ənˈwɪɫɪŋɫi
unwittingly,ənˈwɪtɪŋɫi
up,ˈəp
uphill,ˈəpˈhɪɫ
uppermost,ˈəpɝˌmoʊst
upriver,ˌəˈpɹɪvɝ
upstage,əpˈsteɪdʒ
upstairs,əpˈstɛɹz
upstate,ˈəpˈsteɪt
uptown,ˈəpˈtaʊn
urgently,ˈɝdʒəntɫi
usefully,ˈjusfəɫi
vaguely,ˈveɪɡɫi
vainly,ˈveɪnɫi
valiantly,ˈvæɫjəntɫi
validly,ˈvæɫɪdɫi
variably,ˈvɛɹiəbɫi
variously,ˈvɛɹiəsɫi
vastly,ˈvæstɫi
vehemently,ˈviəməntɫi
verbally,vɝˈbæɫi
verbatim,vɝˈbeɪtəm
vertically,ˈvɝtɪkɫi
very,ˈvɛɹi
vicariously,vaɪˈkɛɹiəsɫi
viciously,ˈvɪʃəsɫi
vigorously,ˈvɪɡɝəsɫi
violently,ˈvaɪəɫəntɫi
virtually,ˈvɝtʃuəɫi
virulently,ˈvɪɹəɫəntɫi
viscerally,ˈvɪsɝəɫi
visibly,ˈvɪzəbɫi
visually,ˈvɪʒwəɫi
vitally,ˈvaɪtəɫi
vividly,ˈvɪvədɫi
vocally,ˈvoʊkəɫi
vociferously,vəˈsɪfɝəsɫi
volcanically,vɑɫˈkænɪkɫi
voluntarily,ˌvɑɫənˈtɛɹəɫi
wantonly,ˈwɑntənɫi
warily,ˈwɛɹəɫi
warmly,ˈwɔɹmɫi
way,ˈweɪ
weakly,ˈwikɫi
weirdly,ˈwɪɹdɫi
well,ˈwɛɫ
west,ˈwɛst
westerly,ˈwɛstɝɫi
westward,ˈwɛstwɝd
whacking,ˈhwækɪŋ
wholesale,ˈhoʊɫˌseɪɫ
wholly,ˈhoʊɫi
whopping,ˈhwɑpɪŋ
wickedly,ˈwɪkɪdɫi
wide,ˈwaɪd
widely,ˈwaɪdɫi
wild,ˈwaɪɫd
wildly,ˈwaɪɫdɫi
willfully,ˈwɪɫfəɫi
willingly,ˈwɪɫɪŋɫi
windward,ˈwɪndwɝd
wisely,ˈwaɪzɫi
wishfully,ˈwɪʃfəɫi
wistfully,ˈwɪstfəɫi
wittily,ˈwɪtəɫi
wittingly,ˈwɪtɪŋɫi
wonderfully,ˈwəndɝfəɫi
worse,ˈwɝs
worst,ˈwɝst
wretchedly,ˈɹɛtʃɪdɫi
wrongfully,ˈɹɔŋfəɫi
wrongly,ˈɹɔŋɫi
wryly,ˈɹaɪɫi
yesterday,ˈjɛstɝˌdeɪ
yet,ˈjɛt
zealously,ˈzɛɫəsɫi
zigzag,ˈzɪɡzæɡ
