abandon,əˈbændən
commune,ˈkɑmjun
communicate,kəmˈjunəˌkeɪt
communize,ˈkɑmjəˌnaɪz
commutate,ˌkɑmjəˈteɪt
commute,kəmˈjut
compact,ˈkɑmpækt
company,ˈkəmpəˌni
compare,kəmˈpɛɹ
compartmentalize,kəmˌpɑɹtˈmɛntəˌɫaɪz
compass,ˈkəmpəs
compel,kəmˈpɛɫ
compensate,ˈkɑmpənˌseɪt
compete,kəmˈpit
compile,kəmˈpaɪɫ
complain,kəmˈpɫeɪn
complement,ˈkɑmpɫəmənt
complete,kəmˈpɫit
complexion,kəmˈpɫɛkʃən
complicate,ˈkɑmpɫəˌkeɪt
compliment,ˈkɑmpɫəmɛnt
comply,kəmˈpɫaɪ
compose,kəmˈpoʊz
compost,ˈkɑmpoʊst
compound,ˈkɑmpaʊnd
compress,ˈkɑmpɹɛs
compromise,ˈkɑmpɹəˌmaɪz
computerize,kəmˈpjutɝˌaɪz
concatenate,kənˈkætəˌneɪt
conceal,kənˈsiɫ
concede,kənˈsid
conceive,kənˈsiv
concentrate,ˈkɑnsənˌtɹeɪt
concern,kənˈsɝn
concert,ˈkɑnsɝt
concertina,kɑnsɝˈtinə
conclude,kənˈkɫud
concoct,kənˈkɑkt
concord,ˈkɑnˌkɔɹd
concrete,ˈkɑnkɹit
concur,kənˈkɝ
condemn,kənˈdɛm
condense,kənˈdɛns
condescend,ˌkɑndɪˈsɛnd
condition,kənˈdɪʃən
conduct,ˈkɑndəkt
cone,ˈkoʊn
confect,kənˈfɛkt
confederate,kənˈfɛdɝˌeɪt
confer,kənˈfɝ
confess,kənˈfɛs
confide,kənˈfaɪd
configure,kənˈfɪɡjɝ
confine,kənˈfaɪn
confirm,kənˈfɝm
conflict,ˈkɑnfɫɪkt
conform,kənˈfɔɹm
confront,kənˈfɹənt
confuse,kənˈfjuz
conga,ˈkɔŋɡə
congratulate,kənˈɡɹætʃəˌɫeɪt
congregate,ˈkɑŋɡɹəˌɡeɪt
conjugate,ˈkɑndʒəˌɡeɪt
conk,ˈkɑŋk
conn,ˈkɑn
connect,kəˈnɛkt
connive,kəˈnaɪv
connote,kəˈnoʊt
conquer,ˈkɑŋkɝ
conscript,ˈkɑnsˌkɹɪpt
consecrate,ˈkɑnsəˌkɹeɪt
conserve,kənˈsɝv
consider,kənˈsɪdɝ
consign,kənˈsaɪn
consist,kənˈsɪst
consolidate,kənˈsɑɫɪˌdeɪt
consort,kənˈsɔɹt
conspire,kənˈspaɪɝ
constipate,ˈkɑnstəˌpeɪt
constitute,ˈkɑnstəˌtut
constrict,kənˈstɹɪkt
construct,ˈkɑnstɹəkt
consult,kənˈsəɫt
consume,kənˈsum
consummate,ˈkɑnsəˌmeɪt
contain,kənˈteɪn
containerize,kənˈteɪnɝˌaɪz
contaminate,kənˈtæməˌneɪt
contemn,ˌkənˈtɛm
contemplate,ˈkɑntəmˌpɫeɪt
contend,kənˈtɛnd
content,ˈkɑntɛnt
contest,ˈkɑntɛst
continue,kənˈtɪnju
contort,kənˈtɔɹt
contour,ˈkɑnˌtʊɹ
contract,ˈkɑnˌtɹækt
contradict,ˌkɑntɹəˈdɪkt
contrast,ˈkɑntɹæst
contribute,kənˈtɹɪbjut
control,kənˈtɹoʊɫ
convene,kənˈvin
converge,kənˈvɝdʒ
converse,ˈkɑnvɝs
convert,ˈkɑnvɝt
convey,kənˈveɪ
convict,ˈkɑnvɪkt
convoke,kɑnˈvoʊk
convoy,ˈkɑnˌvɔɪ
coo,ˈku
cook,ˈkʊk
cool,ˈkuɫ
cooper,ˈkupɝ
coordinate,koʊˈɔɹdəˌneɪt
cope,ˈkoʊp
copper,ˈkɑpɝ
copulate,ˈkɑpjəˌɫeɪt
copy,ˈkɑpi
copyright,ˈkɑpiˌɹaɪt
corbel,ˈkɔɹbəɫ
cord,ˈkɔɹd
corduroy,ˈkɔɹdɝˌɔɪ
core,ˈkɔɹ
cork,ˈkɔɹk
corkscrew,ˈkɔɹksˌkɹu
corn,ˈkɔɹn
corner,ˈkɔɹnɝ
corral,kɝˈæɫ
correct,kɝˈɛkt
correlate,ˈkɔɹəˌɫeɪt
correspond,ˌkɔɹəˈspɑnd
corroborate,kɝˈɑbɝˌeɪt
corrugate,ˈkɔɹəˌɡeɪt
corrupt,kɝˈəpt
corset,ˈkɔɹsət
cosponsor,ˌkoʊˈspɔnsɝ
cost,ˈkɑst
costume,ˈkɑstum
cotton,ˈkɑtən
cough,ˈkɑf
count,ˈkaʊnt
counter,ˈkaʊntɝ
counteract,ˈkaʊntɝˌækt
counterattack,ˈkaʊntɝəˌtæk
counterchallenge,ˈkaʊntɝˌtʃæɫəndʒ
counterclaim,ˈkaʊntɝˌkɫeɪm
counterpoint,ˈkaʊntɝˌpɔɪnt
counterweight,ˈkaʊntɝˌweɪt
couple,ˈkəpəɫ
course,ˈkɔɹs
court,ˈkɔɹt
covenant,ˈkəvənənt
cover,ˈkəvɝ
covet,ˈkəvət
cowl,ˈkaʊɫ
cox,ˈkɑks
crab,ˈkɹæb
crack,ˈkɹæk
crackle,ˈkɹækəɫ
cradle,ˈkɹeɪdəɫ
craft,ˈkɹæft
cram,ˈkɹæm
cramp,ˈkɹæmp
crane,ˈkɹeɪn
crank,ˈkɹæŋk
crash,ˈkɹæʃ
crate,ˈkɹeɪt
crave,ˈkɹeɪv
crawl,ˈkɹɔɫ
crayon,ˈkɹeɪˌɑn
craze,ˈkɹeɪz
cream,ˈkɹim
create,kɹiˈeɪt
credit,ˈkɹɛdət
cremate,ˈkɹimeɪt
creolize,ˈkɹiˌoʊˌɫaɪz
creosote,ˈkɹiəˌsoʊt
crescendo,kɹɪˈʃɛndoʊ
crest,ˈkɹɛst
crew,ˈkɹu
crib,ˈkɹɪb
crick,ˈkɹɪk
cricket,ˈkɹɪkət
criminalize,ˈkɹɪmənəˌɫaɪz
crimp,ˈkɹɪmp
cripple,ˈkɹɪpəɫ
crispen,ˈkɹɪspən
crisscross,ˈkɹɪsˌkɹɔs
criticize,ˈkɹɪtɪˌsaɪz
croak,ˈkɹoʊk
crochet,kɹoʊˈʃeɪ
crock,ˈkɹɑk
crook,ˈkɹʊk
croon,ˈkɹun
crop,ˈkɹɑp
croquet,kɹoʊˈkeɪ
cross,ˈkɹɔs
crouch,ˈkɹaʊtʃ
crow,ˈkɹoʊ
crowd,ˈkɹaʊd
crown,ˈkɹaʊn
crucify,ˈkɹusəˌfaɪ
cruise,ˈkɹuz
crumb,ˈkɹəm
crumble,ˈkɹəmbəɫ
crump,ˈkɹəmp
crunch,ˈkɹəntʃ
crusade,kɹuˈseɪd
crush,ˈkɹəʃ
crust,ˈkɹəst
cry,ˈkɹaɪ
crystallize,ˈkɹɪstəˌɫaɪz
cub,ˈkəb
cube,ˈkjub
cuckoo,ˈkəˌku
cuddle,ˈkədəɫ
cudgel,ˈkədʒəɫ
cuff,ˈkəf
cull,ˈkəɫ
culminate,ˈkəɫmɪˌneɪt
cultivate,ˈkəɫtəˌveɪt
cup,ˈkəp
curb,ˈkɝb
cure,ˈkjʊɹ
curl,ˈkɝɫ
curry,ˈkəɹi
curse,ˈkɝs
curtain,ˈkɝtən
curtsy,ˈkɝtsi
cushion,ˈkʊʃən
customize,ˈkəstəˌmaɪz
cut,ˈkət
cycle,ˈsaɪkəɫ
dab,ˈdæb
dabble,ˈdæbəɫ
dado,ˈdeɪˌdoʊ
dally,ˈdæɫi
dam,ˈdæm
damage,ˈdæmədʒ
damp,ˈdæmp
dampen,ˈdæmpən
dance,ˈdæns
dangle,ˈdæŋɡəɫ
dare,ˈdɛɹ
darken,ˈdɑɹkən
darn,ˈdɑɹn
dart,ˈdɑɹt
dash,ˈdæʃ
date,ˈdeɪt
dateline,ˈdeɪtˌɫaɪn
daub,ˈdɔb
daunt,ˈdɔnt
dawn,ˈdɔn
daydream,ˈdeɪˌdɹim
dazzle,ˈdæzəɫ
deactivate,ˌdiˈæktɪˌveɪt
deaden,ˈdɛdən
deafen,ˈdɛfən
deal,ˈdiɫ
debase,dəˈbeɪs
debate,dəˈbeɪt
debit,ˈdɛbɪt
debrief,dɪˈbɹif
debug,diˈbəɡ
debunk,dɪˈbəŋk
debut,ˈdeɪbju
decaffeinate,diˈkæfəˌneɪt
decamp,dəˈkæmp
decant,dəˈkænt
decapitate,diˈkæpəˌteɪt
decay,dɪˈkeɪ
deceive,dɪˈsiv
decelerate,dɪˈsɛɫɝˌeɪt
decentralize,dɪˈsɛntɹəˌɫaɪz
decertify,diˈsɝtəˌfaɪ
decide,ˌdɪˈsaɪd
decimate,ˈdɛsəˌmeɪt
decipher,dɪˈsaɪfɝ
deck,ˈdɛk
declaim,dɪˈkɫeɪm
declare,dɪˈkɫɛɹ
declassify,dɪˈkɫæsəˌfaɪ
decline,dɪˈkɫaɪn
decode,dɪˈkoʊd
decommission,dikəˈmɪʃən
decompose,ˌdikəmˈpoʊz
deconstruct,ˌdikənˈstɹəkt
decontaminate,dikənˈtæməˌneɪt
decontrol,ˌdikənˈtɹoʊɫ
decorate,ˈdɛkɝˌeɪt
decouple,diˈkəpəɫ
decoy,dəˈkɔɪ
decrease,ˈdiˌkɹis
decree,dɪˈkɹi
dedicate,ˈdɛdəˌkeɪt
deduce,dɪˈdus
deem,ˈdim
deepen,ˈdipən
deface,dɪˈfeɪs
defame,dɪˈfeɪm
default,dɪˈfɔɫt
defect,ˈdifɛkt
defend,dɪˈfɛnd
define,dɪˈfaɪn
deflate,dɪˈfɫeɪt
deflect,dɪˈfɫɛkt
deforest,dɪˈfɔɹəst
deform,ˌdiˈfɔɹm
defray,dɪˈfɹeɪ
defrost,dɪˈfɹɔst
defuse,dɪfˈjuz
defy,dɪˈfaɪ
degas,ˈdeɪɡə
degrade,dɪˈɡɹeɪd
dehumanize,dɪˈhjumənaɪz
dehumidify,dihjuˈmɪdəfaɪ
dehydrate,dɪˈhaɪdɹeɪt
deify,ˈdiəˌfaɪ
delay,dɪˈɫeɪ
delegate,ˈdɛɫəˌɡeɪt
delete,dɪˈɫit
delight,dɪˈɫaɪt
delineate,dɪˈɫɪniˌeɪt
delist,ˌdiˈɫɪst
deliver,dɪˈɫɪvɝ
delouse,ˌdiˈɫaʊz
deluge,ˈdɛɫjudʒ
demand,dɪˈmænd
demilitarize,diˈmɪɫətɝˌaɪz
demobilize,dɪˈmoʊbəˌɫaɪz
democratize,dɪˈmɑkɹəˌtaɪz
demodulate,ˌdiˌmɑdʒəˈɫeɪt
demolish,dɪˈmɑɫɪʃ
demonize,ˈdiməˌnaɪz
demonstrate,ˈdɛmənˌstɹeɪt
demoralize,dɪˈmɔɹəˌɫaɪz
demote,dɪˈmoʊt
demur,dɪˈmɝ
demystify,diˈmɪstəˌfaɪ
denationalize,dɪˈnæʃənəˌɫaɪz
denature,dɪˈneɪtʃɝ
denote,dɪˈnoʊt
denounce,dɪˈnaʊns
denude,dɪˈnud
deny,dɪˈnaɪ
depart,dɪˈpɑɹt
depend,dɪˈpɛnd
depersonalize,diˈpɝsənəˌɫaɪz
deplore,dɪˈpɫɔɹ
deploy,dɪˈpɫɔɪ
depopulate,diˈpɑpjəˌɫeɪt
depose,dɪˈpoʊz
deposit,dəˈpɑzɪt
deprecate,ˈdɛpɹəˌkeɪt
depreciate,dɪˈpɹiʃiˌeɪt
depress,dɪˈpɹɛs
depressurize,dɪˈpɹɛʃɝˌaɪz
deprive,dɪˈpɹaɪv
derail,dɪˈɹeɪɫ
deregulate,diˈɹɛɡjəɫeɪt
deride,dɪˈɹaɪd
derive,dɝˈaɪv
descend,dɪˈsɛnd
describe,dɪsˈkɹaɪb
descry,dɛsˈkɹaɪ
desecrate,dɛsəˈkɹeɪt
desegregate,dɪˈsɛɡɹəˌɡeɪt
desensitize,dɪˈsɛnsəˌtaɪz
deserve,dɪˈzɝv
design,dɪˈzaɪn
designate,ˈdɛzəɡˌneɪt
desire,dɪˈzaɪɝ
despair,dɪˈspɛɹ
destabilize,dɪˈsteɪbəˌɫaɪz
destroy,dɪˈstɹɔɪ
destruct,dɪˈstɹəkt
detach,ˈdɪˌtætʃ
detail,ˈditeɪɫ
detect,dɪˈtɛkt
deter,dɪˈtɝ
deteriorate,dɪˈtɪɹiɝˌeɪt
determine,dəˈtɝmən
dethrone,diˈθɹoʊn
detonate,ˈdɛtəˌneɪt
detour,ˈditʊɹ
detox,ˈdiˌtɑks
detoxify,dɪˈtɑksəˌfaɪ
devalue,dɪˈvæɫˌju
devastate,ˈdɛvəˌsteɪt
develop,dɪˈvɛɫəp
deviate,ˈdiviˌeɪt
devil,ˈdɛvəɫ
devise,dɪˈvaɪs
devolve,dɪˈvɑɫv
devote,dɪˈvoʊt
devour,dɪˈvaʊɝ
diagnose,ˌdaɪəɡˈnoʊs
diagram,ˈdaɪəˌɡɹæm
dial,ˈdaɪəɫ
dibble,ˈdɪbəɫ
dice,ˈdaɪs
dicker,ˈdɪkɝ
dictate,ˈdɪkˌteɪt
die,ˈdaɪ
diet,ˈdaɪət
differ,ˈdɪfɝ
differentiate,ˌdɪfɝˈɛnʃiˌeɪt
diffract,dɪˈfɹækt
diffuse,dɪfˈjus
dig,ˈdɪɡ
digest,ˈdaɪdʒɛst
digitize,ˈdɪdʒəˌtaɪz
dignify,ˈdɪɡnəˌfaɪ
digress,daɪˈɡɹɛs
dike,ˈdaɪk
dilapidate,dəˈɫæpəˌdeɪt
dilate,ˌdaɪˈɫeɪt
dilute,daɪˈɫut
dim,ˈdɪm
dimension,dɪˈmɛnʃən
diminish,dɪˈmɪnɪʃ
dimple,ˈdɪmpəɫ
din,ˈdɪn
dine,ˈdaɪn
ding,ˈdɪŋ
dip,ˈdɪp
direct,daɪˈɹɛkt
dirty,ˈdɝti
disable,dɪˈseɪbəɫ
disabuse,dɪsəbˈjus
disadvantage,ˌdɪsədˈvænɪdʒ
disagree,dɪsəˈɡɹi
disappoint,ˌdɪsəˈpɔɪnt
disapprove,ˌdɪsəˈpɹuv
disarm,dɪˈsɑɹm
disassemble,ˌdɪsəˈsɛmbəɫ
disassociate,ˌdɪsəˈsoʊsieɪt
disavow,ˌdɪsəˈvaʊ
disband,dɪsˈbænd
disbar,ˌdɪsˈbɑɹ
disbelieve,dɪsbəˈɫiv
disburse,dɪsˈbɝs
discard,dɪˈskɑɹd
discharge,ˈdɪsˌtʃɑɹdʒ
discipline,ˈdɪsəpɫən
disclaim,dɪˈskɫeɪm
disclose,dɪˈskɫoʊz
discolor,dɪˈskəɫɝ
disconnect,dɪskəˈnɛkt
discontent,dɪskənˈtɛnt
discontinue,dɪskənˈtɪnju
discount,ˈdɪskaʊnt
discourage,dɪˈskɝɪdʒ
discourse,ˈdɪskɔɹs
discover,dɪˈskəvɝ
discredit,dɪsˈkɹɛdət
discriminate,dɪsˈkɹɪməˌneɪt
disembark,dɪsɛmˈbɑɹk
disembody,dɪsɪˈbɑdi
disenfranchise,dɪsɪnˈfɹænˌtʃaɪz
disengage,dɪsɪnˈɡeɪdʒ
disentangle,ˌdɪsənˈtæŋɡəɫ
disguise,dɪsˈɡaɪz
disgust,dɪsˈɡəst
dish,ˈdɪʃ
dishonor,dɪˈsɑnɝ
disinfect,dɪsɪnˈfɛkt
disintegrate,dɪˈsɪntəˌɡɹeɪt
disjoint,dɪsˈdʒɔɪnt
dislike,dɪˈsɫaɪk
dislocate,ˈdɪsɫoʊkeɪt
dislodge,dɪˈsɫɑdʒ
dismay,dɪsˈmeɪ
dismember,dɪsˈmɛmbɝ
dismiss,dɪsˈmɪs
disobey,ˌdɪsəˈbeɪ
disorder,dɪˈsɔɹdɝ
disorganize,dɪˈsɔɹɡəˌnaɪz
disorient,dɪˈsɔɹiˌɛnt
disparage,dɪˈspɛɹɪdʒ
dispatch,dɪˈspætʃ
dispense,dɪˈspɛns
disperse,dɪˈspɝs
displace,dɪsˈpɫeɪs
display,dɪsˈpɫeɪ
displease,dɪsˈpɫiz
dispose,dɪˈspoʊz
disprove,dɪsˈpɹuv
disqualify,dɪsˈkwɑɫəˌfaɪ
disrespect,ˌdɪsɹɪˈspɛkt
disrupt,dɪsˈɹəpt
diss,ˈdɪs
dissatisfy,dɪˈsætəsˌfaɪ
dissect,daɪˈsɛkt
dissemble,dɪˈsɛmbəɫ
dissent,dɪˈsɛnt
dissipate,ˈdɪsəˌpeɪt
dissolve,dɪˈzɑɫv
dissuade,dɪˈsweɪd
distance,ˈdɪstəns
distemper,dɪˈstɛmpɝ
distend,dɪˈstɛnd
distill,dɪˈstɪɫ
distinguish,dɪˈstɪŋɡwɪʃ
distract,dɪˈstɹækt
distress,dɪˈstɹɛs
distribute,dɪˈstɹɪbjut
distrust,dɪˈstɹəst
disturb,dɪˈstɝb
ditch,ˈdɪtʃ
dither,ˈdɪðɝ
ditto,ˈdɪtoʊ
dive,ˈdaɪv
diverge,dɪˈvɝdʒ
diversify,daɪˈvɝsəˌfaɪ
divert,daɪˈvɝt
divest,daɪˈvɛst
divide,dɪˈvaɪd
divine,dɪˈvaɪn
divorce,dɪˈvɔɹs
dizzy,ˈdɪzi
do,ˈdu
dock,ˈdɑk
docket,ˈdɑkət
doctor,ˈdɑktɝ
document,ˈdɑkjəmɛnt
dodge,ˈdɑdʒ
doff,ˈdɔf
dogfight,ˈdɑɡˌfaɪt
domesticate,dəˈmɛstəˌkeɪt
dominate,ˈdɑməˌneɪt
donate,ˈdoʊˌneɪt
doodle,ˈdudəɫ
doom,ˈdum
dope,ˈdoʊp
dose,ˈdoʊs
dot,ˈdɑt
dote,ˈdoʊt
double,ˈdəbəɫ
doubt,ˈdaʊt
douche,ˈduʃ
douse,ˈdaʊs
dovetail,ˈdəvˌteɪɫ
down,ˈdaʊn
downgrade,ˈdaʊnˈɡɹeɪd
dowse,ˈdaʊs
draft,ˈdɹæft
drag,ˈdɹæɡ
drain,ˈdɹeɪn
dramatize,ˈdɹæməˌtaɪz
drape,ˈdɹeɪp
draw,ˈdɹɔ
drawl,ˈdɹɔɫ
dream,ˈdɹim
dredge,ˈdɹɛdʒ
drench,ˈdɹɛntʃ
dress,ˈdɹɛs
dribble,ˈdɹɪbəɫ
drift,ˈdɹɪft
drill,ˈdɹɪɫ
drink,ˈdɹɪŋk
drip,ˈdɹɪp
drive,ˈdɹaɪv
drivel,ˈdɹɪvəɫ
drizzle,ˈdɹɪzəɫ
drone,ˈdɹoʊn
droop,ˈdɹup
drop,ˈdɹɑp
drown,ˈdɹaʊn
drug,ˈdɹəɡ
drum,ˈdɹəm
dry,ˈdɹaɪ
dub,ˈdəb
duck,ˈdək
duel,ˈduəɫ
dull,ˈdəɫ
dummy,ˈdəmi
dump,ˈdəmp
dun,ˈdən
dung,ˈdəŋ
dunk,ˈdəŋk
duplex,ˈduˌpɫɛks
duplicate,ˈdupɫəˌkeɪt
dusk,ˈdəsk
dust,ˈdəst
dwarf,ˈdwɔɹf
dwell,ˈdwɛɫ
dwindle,ˈdwɪndəɫ
dye,ˈdaɪ
dynamite,ˈdaɪnəˌmaɪt
eagle,ˈiɡəɫ
earn,ˈɝn
earth,ˈɝθ
ease,ˈiz
eat,ˈit
ebb,ˈɛb
echo,ˈɛkoʊ
eddy,ˈɛdi
edge,ˈɛdʒ
edit,ˈɛdət
editorialize,ˌɛdəˈtɔɹiəˌɫaɪz
educate,ˈɛdʒəˌkeɪt
efface,ɪˈfeɪs
effect,ˈifɛkt
egg,ˈɛɡ
ejaculate,ɪˈdʒækjuˌɫeɪt
eject,ɪˈdʒɛkt
elaborate,ɪˈɫæbɝˌeɪt
elapse,ɪˈɫæps
elate,ɪˈɫeɪt
elbow,ˈɛɫˌboʊ
elect,ɪˈɫɛkt
electioneer,ɪˌɫɛkʃəˈnɪɹ
electrify,ɪˈɫɛktɹəˌfaɪ
electrocute,ˌɪˈɫɛktɹəkˌjut
electroplate,ˌɪˈɫɛktɹəˌpɫeɪt
elicit,ɪˈɫɪsɪt
eliminate,ɪˈɫɪməˌneɪt
elope,ɪˈɫoʊp
elude,ɪˈɫud
emaciate,ɪˈmeɪʃiˌeɪt
emanate,ˈɛməˌneɪt
emancipate,ɪˈmænsəˌpeɪt
emasculate,əˈmæskjuˌɫeɪt
embalm,ɛmˈbɑm
embargo,ɛmˈbɑɹɡoʊ
embark,ɛmˈbɑɹk
embed,ɪmˈbɛd
embezzle,ɪmˈbɛzəɫ
embitter,ɛmˈbɪtɝ
emblazon,ɛmˈbɫeɪzən
embody,ɪmˈbɑdi
emboss,ɪmˈbɔs
embrace,ɛmˈbɹeɪs
embroider,ɪmˈbɹɔɪdɝ
embroil,ɛmˈbɹɔɪɫ
emcee,ˈɛmˈsi
emerge,ˈimɝdʒ
emigrate,ˈɛməˌɡɹeɪt
emit,ɪˈmɪt
empanel,ɪmˈpænəɫ
empower,ɪmˈpaʊɝ
empty,ˈɛmpti
emulate,ˈɛmjəˌɫeɪt
enable,ɛˈneɪbəɫ
enact,ɪˈnækt
enamel,ɪˈnæməɫ
encapsulate,ɛnˈkæpsəˌɫeɪt
encase,ɛnˈkeɪs
enchant,ɛnˈtʃænt
encircle,ɛnˈsɝkəɫ
enclose,ɪnˈkɫoʊz
encode,ɛnˈkoʊd
encore,ˈɑnˌkɔɹ
encourage,ɛnˈkɝɪdʒ
encroach,ɪnˈkɹoʊtʃ
encrust,ɛnˈkɹəst
end,ˈɛnd
endanger,ɛnˈdeɪndʒɝ
endear,ɛnˈdiɹ
endeavor,ɪnˈdɛvɝ
endorse,ɛnˈdɔɹs
endow,ɛnˈdaʊ
enfeeble,ɛnˈfibəɫ
enforce,ɛnˈfɔɹs
enfranchise,ɪnˈfɹænˌtʃaɪz
engage,ɛnˈɡeɪdʒ
engender,ɛnˈdʒɛndɝ
engineer,ˈɛndʒəˈnɪɹ
engrave,ɪnˈɡɹeɪv
engulf,ɪnˈɡəɫf
enhance,ɛnˈhæns
enjoin,ˌɛnˈdʒɔɪn
enjoy,ˌɛnˈdʒɔɪ
enlarge,ˌɛnˈɫɑɹdʒ
enlighten,ˌɛnˈɫaɪtən
enlist,ˌɛnˈɫɪst
enliven,ɛnˈɫaɪvən
enmesh,ɛnˈmɛʃ
ennoble,ɪˈnoʊbəɫ
enrage,ɛnˈɹeɪdʒ
enrich,ɛnˈɹɪtʃ
enroll,ɛnˈɹoʊɫ
ensconce,ɪnˈskɑns
enshrine,ɛnʃˈɹaɪn
enslave,ɛnˈsɫeɪv
ensnare,ɪnsˈnɛɹ
entail,ɛnˈteɪɫ
entangle,ɛnˈtæŋɡəɫ
enter,ˈɛnɝ
entertain,ˌɛnɝˈteɪn
enthuse,ɪnˈθuz
entice,ɪnˈtaɪs
entitle,ɛnˈtaɪtəɫ
entrance,ˈɛntɹəns
entrench,ɛnˈtɹɛntʃ
entrust,ɛnˈtɹəst
enumerate,ɪˈnumɝˌeɪt
envelop,ɪnˈvɛɫəp
envision,ɛnˈvɪʒən
envy,ˈɛnvi
epoxy,ɪˈpɑksi
equal,ˈikwəɫ
equalize,ˈikwəˌɫaɪz
equip,ɪˈkwɪp
erase,iˈɹeɪs
erode,ˈiɹoʊd
err,ˈɛɹ
erupt,ˈiɹəpt
escalade,ˌɛskəˈɫɑd
escalate,ˈɛskəˌɫeɪt
escape,ɪˈskeɪp
escort,ˈɛskɔɹt
espouse,ɪˈspaʊs
establish,ɪˈstæbɫɪʃ
estimate,ˈɛstəˌmeɪt
estrange,ɛˈstɹeɪndʒ
etch,ˈɛtʃ
eulogize,ˈjuɫəˌdʒaɪz
evacuate,iˈvækjəˌeɪt
evade,iˈveɪd
evaluate,iˈvæɫjuˌeɪt
evangelize,iˈvændʒəˌɫaɪz
evaporate,ɪˈvæpɝˌeɪt
even,ˈivɪn
evert,ɪˈvɝt
eviscerate,əˈvɪsɝˌeɪt
evolve,iˈvɑɫv
exacerbate,ɪɡˈzæsɝˌbeɪt
